,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,phone,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,churn
0,6.94,5.0,5.0,1.0,1.0,0.0,0,0,100.0,1
1,8.06,5.0,5.0,1.0,1.0,0.0,2,1,0.0,1
6,4.87,4.7,4.0,1.0,1.0,0.0,0,0,66.7,1
7,1.78,4.0,5.0,1.0,0.0,0.0,3,0,0.0,1
8,6.87,5.0,4.7,1.0,1.0,0.0,3,0,66.7,1
9,2.41,5.0,3.0,1.0,0.0,0.0,1,0,100.0,1
12,5.42,4.7,5.0,1.0,0.0,0.0,2,1,33.3,0
13,5.02,5.0,5.0,1.0,1.0,0.0,1,0,0.0,1
14,4.28,5.0,4.0,1.15,1.0,20.0,2,0,40.0,0
15,3.4,5.0,5.0,1.0,1.0,0.0,1,1,100.0,1
16,6.74,4.8,3.7,1.02,0.0,9.1,2,0,54.5,1
17,7.27,4.8,4.0,1.0,0.0,0.0,1,0,75.0,1
18,2.72,4.7,4.5,1.0,0.0,0.0,1,0,33.3,1
19,5.94,5.0,5.0,1.0,0.0,0.0,1,1,100.0,1
20,17.34,5.0,5.0,1.0,1.0,0.0,1,1,100.0,1
21,3.31,4.8,3.7,1.02,0.0,2.6,9,0,47.4,1
22,2.69,4.3,5.0,1.0,0.0,0.0,0,0,0.0,1
24,4.96,5.0,5.0,1.0,0.0,0.0,1,0,100.0,1
25,11.44,4.6,4.7,1.0,0.0,0.0,6,1,31.4,0
26,0.05,5.0,5.0,1.0,1.0,0.0,1,0,0.0,1
27,3.7,4.6,5.0,1.0,0.0,0.0,2,0,40.0,1
28,3.89,5.0,4.0,1.0,0.0,0.0,0,0,0.0,1
29,4.7,4.8,3.3,1.0,1.0,0.0,4,0,25.0,1
30,2.49,4.9,4.7,1.11,1.0,14.3,2,1,78.6,0
31,1.45,4.8,3.6,1.2,0.0,28.6,2,1,57.1,0
33,1.84,4.9,4.0,1.03,0.0,11.1,4,1,33.3,0
34,2.89,5.0,5.0,1.0,1.0,0.0,0,0,0.0,0
35,5.55,5.0,5.0,1.0,0.0,0.0,2,1,50.0,1
36,10.58,5.0,4.3,1.03,0.0,11.1,2,0,88.9,0
38,4.01,4.4,5.0,1.0,0.0,0.0,2,1,63.6,0
39,2.81,4.8,4.6,1.07,0.0,11.1,5,0,59.3,0
40,2.87,5.0,5.0,1.0,0.0,0.0,0,0,50.0,0
41,3.4,5.0,5.0,1.13,0.0,37.5,4,0,87.5,1
42,0.43,3.0,4.0,1.0,1.0,0.0,1,0,100.0,1
43,0.87,5.0,4.0,1.0,1.0,0.0,1,0,100.0,1
44,3.92,4.4,4.0,2.0,0.0,60.0,0,0,0.0,0
45,6.86,5.0,5.0,1.25,1.0,50.0,0,0,0.0,1
46,11.03,5.0,5.0,1.0,0.0,0.0,3,0,100.0,1
47,0.85,5.0,5.0,3.0,0.0,100.0,0,0,100.0,1
48,1.43,4.5,3.8,1.0,0.0,0.0,3,1,52.4,0
49,2.35,5.0,4.0,1.0,0.0,0.0,0,1,0.0,1
50,5.6,4.8,4.1,1.09,0.0,18.2,4,1,57.6,0
51,1.44,5.0,5.0,1.0,0.0,0.0,1,1,0.0,1
53,3.11,4.7,4.5,1.19,0.0,29.4,0,0,76.5,0
54,2.23,4.5,4.0,1.0,0.0,0.0,0,0,0.0,1
55,1.95,5.0,5.0,1.0,0.0,0.0,2,1,0.0,1
57,9.91,4.0,5.0,1.06,0.0,25.0,0,1,100.0,0
58,12.37,4.0,1.0,1.0,0.0,0.0,0,0,50.0,1
59,1.97,5.0,4.0,1.0,0.0,0.0,2,0,80.0,1
60,11.62,4.0,4.0,1.0,0.0,0.0,0,0,100.0,1
63,4.13,5.0,5.0,1.0,0.0,0.0,0,0,50.0,1
64,4.95,4.9,4.7,1.0,1.0,0.0,0,1,100.0,0
65,1.97,4.4,5.0,1.0,0.0,0.0,0,0,80.0,1
66,4.99,5.0,4.3,1.33,0.0,33.3,6,1,16.7,1
67,13.59,5.0,4.5,1.0,0.0,0.0,1,0,50.0,0
68,6.93,5.0,5.0,1.0,0.0,0.0,1,0,40.0,0
69,1.82,4.7,4.4,1.1,0.0,9.8,10,1,80.5,0
71,6.03,5.0,4.3,1.05,0.0,10.0,2,1,40.0,0
72,2.6,3.8,4.0,1.2,0.0,20.0,0,1,40.0,1
74,1.57,5.0,5.0,1.25,0.0,50.0,2,0,100.0,1
75,5.34,5.0,5.0,1.0,0.0,0.0,0,0,0.0,1
76,4.77,5.0,3.7,1.0,0.0,0.0,0,0,33.3,1
77,2.06,4.9,4.9,1.16,1.0,25.0,1,0,50.0,1
78,2.69,4.4,4.0,1.5,0.0,40.0,1,0,60.0,0
79,1.92,4.3,3.7,1.0,1.0,0.0,6,0,68.0,0
80,1.86,4.9,5.0,1.0,1.0,0.0,2,0,56.3,0
81,1.55,4.6,5.0,1.16,0.0,13.6,4,0,63.6,0
82,1.93,4.2,5.0,1.25,1.0,33.3,12,1,72.2,1
83,6.73,5.0,3.5,1.0,0.0,0.0,1,1,83.3,0
84,1.71,4.4,5.0,1.0,0.0,0.0,6,0,87.5,1
85,8.99,5.0,5.0,1.0,1.0,0.0,1,0,50.0,1
86,3.62,4.8,4.3,1.0,1.0,0.0,2,0,55.6,0
87,5.66,5.0,4.8,1.0,1.0,0.0,2,1,50.0,0
88,4.86,4.8,4.0,1.0,0.0,0.0,1,0,55.6,0
90,2.11,4.4,4.0,1.0,0.0,0.0,3,0,0.0,1
91,2.41,4.9,4.7,1.25,0.0,25.0,3,0,50.0,1
92,0.63,5.0,5.0,1.0,0.0,0.0,2,0,100.0,1
93,14.55,4.7,4.8,1.04,0.0,5.6,27,1,73.2,0
94,2.68,5.0,4.0,1.75,0.0,50.0,2,0,0.0,1
95,7.29,5.0,4.5,1.03,0.0,12.5,1,1,50.0,0
96,2.22,5.0,4.8,1.03,1.0,11.1,4,0,44.4,0
97,5.38,4.8,4.7,1.38,0.0,30.0,0,0,40.0,0
98,1.46,5.0,5.0,1.0,1.0,0.0,0,0,0.0,1
99,5.16,4.3,4.6,1.03,0.0,6.3,1,1,50.0,0
100,4.08,5.0,4.0,1.0,0.0,0.0,3,0,100.0,1
103,8.78,4.0,5.0,1.0,0.0,0.0,0,0,100.0,1
106,3.47,5.0,5.0,1.33,1.0,33.3,1,0,100.0,1
107,2.33,4.7,5.0,1.05,0.0,4.5,7,0,81.8,0
109,2.82,5.0,5.0,1.0,0.0,0.0,1,0,50.0,1
110,4.89,5.0,4.0,1.0,0.0,0.0,0,0,0.0,1
111,6.26,5.0,4.0,1.0,0.0,0.0,1,1,0.0,0
112,3.59,1.0,5.0,1.0,0.0,0.0,1,0,0.0,1
113,3.07,5.0,5.0,1.0,0.0,0.0,2,0,66.7,1
114,2.98,4.8,4.7,1.06,0.0,12.8,0,1,34.0,0
115,3.53,5.0,5.0,1.5,1.0,100.0,0,0,0.0,1
117,3.07,5.0,3.5,1.0,1.0,0.0,2,0,0.0,1
